DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-03-30	32824824	Diaz-Pena R	2020-08-18	J Pers Med	www.ncbi.nlm.nih.gov/pubmed/32824824	Amerindian Ancestry Influences Genetic Susceptibility to Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease	214 Chilean cases, 193 Chilean controls	NA	21q22.3	21	41798360	PRDM15	PRDM15			ENSG00000141956			rs1054761-T	rs1054761	0	1054761	3_prime_UTR_variant	0	NR	9E-7	6.045757490560675		0.44	NR	Illumina [754159] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST011435	Genome-wide genotyping array
2021-03-30	32824824	Diaz-Pena R	2020-08-18	J Pers Med	www.ncbi.nlm.nih.gov/pubmed/32824824	Amerindian Ancestry Influences Genetic Susceptibility to Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease	214 Chilean cases, 193 Chilean controls	NA	4q35.1	4	184868841	intergenic	MIR3945HG - LINC01093	ENSG00000251230	ENSG00000249173		13090	24017	rs4862451-G	rs4862451	0	4862451	intergenic_variant	1	NR	7E-6	5.154901959985743		2.47	NR	Illumina [754159] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST011435	Genome-wide genotyping array
2019-06-27	31036433	Pividori M	2019-04-26	Lancet Respir Med	www.ncbi.nlm.nih.gov/pubmed/31036433	Shared and distinct genetic risk factors for childhood-onset and adult-onset asthma: genome-wide and transcriptome-wide studies.	Chronic obstructive pulmonary disease	9,876 British ancestry cases, 318,237 British ancestry controls	NA				NR							15q25.1-?	15q25.1	0			1	NR	1E-14	14.0				Affymetrix [10894596] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST007996	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	1q41	1	219724599	NR	SLC30A10			ENSG00000196660			rs4846580-G	rs4846580	0	4846580	intron_variant	0	0.44	1E-6	6.0		1.08	[1.05-1.12]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	2q36.3	2	228726001	NR	LINC01807			ENSG00000232023			rs4973115-A	rs4973115	0	4973115	intron_variant	0	0.08	1E-6	6.0		0.86	[0.8-0.91]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	3q21.3	3	128242335	NR	EEFSEC			ENSG00000132394			rs2955083-T	rs2955083	0	2955083	intron_variant	0	0.12	7E-6	5.154901959985743		0.89	[0.85-0.94]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	3q23	3	141428572	NR	ZBTB38			ENSG00000177311			rs7650602-C	rs7650602	0	7650602	intron_variant	0	0.45	1E-6	6.0		1.08	[1.05-1.12]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	4q24	4	105140377	NR	AC004069.1			ENSG00000251259			rs7679673-A	rs7679673	0	7679673	intron_variant	0	0.39	8E-9	8.096910013008056		0.91	[0.88-0.94]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	4q24	4	105897896	NR	NPNT			ENSG00000168743			rs34712979-A	rs34712979	0	34712979	splice_region_variant	0	0.25	1E-29	29.0		1.23	[1.18-1.27]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	4q31.21	4	143753833	NR	AC107223.1			ENSG00000251600			rs151025055-T	rs151025055	0	151025055	intron_variant	0	0.12	1E-9	9.0		1.15	[1.1-1.21]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	4q31.21	4	144558609	NR	AC098588.2, AC098588.3			ENSG00000285713, ENSG00000285783			rs6537293-G	rs6537293	0	6537293	intron_variant	0	0.39	3E-24	23.522878745280337		0.84	[0.81-0.87]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	5q32	5	148476959	NR	HTR4			ENSG00000164270			rs7733410-A	rs7733410	0	7733410	intron_variant	0	0.44	3E-9	8.522878745280337		0.91	[0.88-0.94]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	5q33.1	5	151215512	NR	CCDC69, GM2A			ENSG00000198624, ENSG00000196743			rs979453-G	rs979453	0	979453	intron_variant	0	0.33	3E-6	5.522878745280337		1.08	[1.05-1.12]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	5q33.3	5	157505368	NR	ADAM19			ENSG00000135074			rs2277027-C	rs2277027	0	2277027	intron_variant	0	0.35	4E-9	8.397940008672037		1.11	[1.07-1.14]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	5q35.1	5	171474582	NR	FGF18 - AC022440.1	ENSG00000156427	ENSG00000285914		16956	249993	rs12519165-A	rs12519165	0	12519165	regulatory_region_variant	1	0.39	9E-8	7.045757490560675		1.1	[1.06-1.13]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	6p22.3	6	19843536	NR	ID4 - AL022726.1	ENSG00000172201	ENSG00000287138		1339	48861	rs6905736-C	rs6905736	0	6905736	intergenic_variant	1	0.15	1E-7	7.0		0.88	[0.84-0.92]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	6p22.2	6	26510848	NR	BTN1A1 - RNU6-502P	ENSG00000124557	ENSG00000199289		426	8503	rs9379882-T	rs9379882	0	9379882	intergenic_variant	1	0.14	3E-7	6.522878745280337		1.12	[1.07-1.17]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	6p22.1	6	27321997	NR	POM121L2 - VN1R10P	ENSG00000158553	ENSG00000220758		9827	2897	rs6923811-C	rs6923811	0	6923811	intergenic_variant	1	0.33	2E-10	9.698970004336019		1.12	[1.08-1.15]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	6p22.1	6	27867440	NR	H1-5			ENSG00000184357			rs17763089-A	rs17763089	0	17763089	synonymous_variant	0	0.11	3E-6	5.522878745280337		1.12	[1.07-1.17]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	6p21.32	6	32128224	NR	ATF6B, ATF6B, ATF6B			ENSG00000234539, ENSG00000228628, ENSG00000213676			rs3130288-A	rs3130288	0	3130288	5_prime_UTR_variant	0	0.12	5E-11	10.301029995663981		1.16	[1.11-1.22]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	6q21	6	108945052	NR	ARMC2			ENSG00000118690			rs2806356-C	rs2806356	0	2806356	intron_variant	0	0.18	1E-6	6.0		1.11	[1.06-1.15]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	6q24.2	6	142424746	NR	ADGRG6			ENSG00000112414			rs7753012-G	rs7753012	0	7753012	intron_variant	0	0.32	4E-20	19.397940008672037		0.85	[0.82-0.88]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	7p21.1	7	20378567	NR	ITGB8			ENSG00000105855			rs12700188-G	rs12700188	0	12700188	intron_variant	0	0.41	4E-8	7.3979400086720375		0.91	[0.88-0.94]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	9p24.2	9	4123044	NR	GLIS3			ENSG00000107249			rs4740752-G	rs4740752	0	4740752	intron_variant	0	0.36	6E-6	5.221848749616356		1.08	[1.04-1.12]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	10p13	10	12236526	NR	CDC123			ENSG00000151465			rs57062879-A	rs57062879	0	57062879	intron_variant	0	0.49	6E-16	15.221848749616356		1.14	[1.11-1.18]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	10q22.3	10	76559121	NR	AC024603.1, LRMDA			ENSG00000269256, ENSG00000148655			rs2579762-C	rs2579762	0	2579762	3_prime_UTR_variant	0	0.46	1E-7	7.0		1.09	[1.06-1.13]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	15q23	15	71336031	NR	AC064799.2, THSD4			ENSG00000260586, ENSG00000187720			rs10851839-T	rs10851839	0	10851839	intron_variant	0	0.34	3E-14	13.522878745280337		1.14	[1.1-1.18]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	15q25.2	15	83616602	NR	SH3GL3			ENSG00000140600			rs2585059-C	rs2585059	0	2585059	intron_variant	0	0.42	2E-6	5.698970004336019		0.92	[0.89-0.95]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	16q23.1	16	75428157	NR	CFDP1, AC009163.5			ENSG00000153774, ENSG00000261717			rs12930452-A	rs12930452	0	12930452	intron_variant	0	0.41	2E-9	8.698970004336019		0.9	[0.88-0.93]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016586	Genome-wide genotyping array
2021-04-23	33106845	Kim W	2020-10-27	Am J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/33106845	Genome-wide Gene-by-smoking Interaction Study of Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease x current smoker interaction (main effect)	21,077 European ancestry cases, 179,689 European ancestry controls	NA	1q41	1	219724599	NR	SLC30A10			ENSG00000196660			rs4846580-G	rs4846580	0	4846580	intron_variant	0	0.44	9E-10	9.045757490560675		1.08	[1.05-1.1]	Affymetrix [9886854] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST90016591	Genome-wide genotyping array
